file_id,voice,text,source_paragraph_id,source_index
ardi026,ardi,"Nasaba' sukkuru'i nasaba' naalle Jokowi, naissenni alena waji'i massempajang lao ri Jokowi mancaji presiden terpilih narimakkuannanaro naullei pimpingngi Indonesia sibawa madeceng, naiyya nabarakkakiwi Jokowi.",paragraph_014,38415
ardi027,ardi,"Ri lalenna iyyaro bobbo’ e, engka paragraph iyya nateppui makkeda sila pammulanna Pancasila iyanaritu Ketuhanan Yang Maha Esa nennia rilambangkang i sibawa sewwa biccuing ulaweng massudu’ lima.",paragraph_015,10418
ardi028,ardi,"Iyyae sila e nabettuangi agama-agama maraja e ri Indonesia, iyanaritu Islam, Kristen, Buddha, Hindu, sibawa Ideologi Sekuler Sosialisme.",paragraph_015,10418
ardi029,ardi,"Kanon Katolik Roma sibawa Gereja-gereja Timur nacakup kitab-kitab yaro laesebbu deuterokanonika, yaro kega kewibawaanna laetentang okko Akiba ben Yusuf silaleng na perkembangan kanon Ibrani okko abad pertama; namo rekeng Akiba meto de' na natentang lae pake na pribadi kitab-kitab yaro sebagaimana alena meto biasa napake Kitab Sirakh.",paragraph_016,83331
ardi031,ardi,Kitab Musa yanaritu syatatan iyae lebbi lengkap fassaleng uki-uki Musa ri awal kitab Kejadian laleng Accanjingeng Itta.,paragraph_018,52972
ardi032,ardi,"Kitab Musa mallise maega doktrin na aggurung iyae tabbe fole Alkitab na mabbere informasi tambahan fassaleng rencana keselamatan, penciptaan bumi serta urusan-urusan Tuhan silong Adam na Henokh.",paragraph_018,52972
ardi034,ardi,"Alena mebbu kritik yaro matareng lokka prasangka-prasangka yaro makkokkoe muncul tentang keuntungan-keuntungan yaro riabbereang lokka manusia pole gereja, negara na distribusi harta punna yaro engkae, na pole aggurung-aggurung Yesus alena nasimpulkan atoran untuk de'na mewa na kutukan mutlak lokka yamaneng perang.",paragraph_020,126421
ardi037,ardi,"Seddi apologet kristen na filsuf Alvin Plantinga iyae maddukung teori perancangan macca maformulasikan ulang argumen denanamungkin eddi sebage argumen evolusioner mabbali naturalisme, iya nanyatakan makkedda iyaro dena rasional untu mattolak keberadaan perancang macca na supernatural nasabari kemungkinan kemampuan mattentu tabbentu liwa syidaha.",paragraph_023,127761
ardi039,ardi,Upacara pembaptisan ana-ana ki gereja Lutheran Upacara pengakuan dosa ki Gereja Katolik Ukraina Perayaan Ekaristi ki gereja Metodis Upacara pagala'i ki gereja Anglikan Upacara pentahbisan imang ki Gereja Ortodoks Rialau Pemahkotaan mempelai rilaleng upacara botting ri Gereja Katolik Suriah Malabar Upacara pengurapan tau malasa ri Esso Raba' Mapaccing.,paragraph_025,34003
ardi040,ardi,"Istilah aro syau lessi difake laleng Gereja Ortodoks Timur na Gereja Katolik Timur na terkadang iyaro analog fole monsinyur laleng Gereja Katolik, tafi laleng Gereja-Gereja Timur, seddi imam agung mappake jubah tambahan na seddi salib pektoral na kadang diakka molai seddi upacara liturgi.",paragraph_026,23201
ardi043,ardi,"Tau iya palettu' kareba, harusu' napalettu' kareba pole Allah; tau iya layani tau laing e, harusu' nalayani sibawa agalakeng iya pole we Allah, bara' ilaleng siningna gau' e, Allah wedding iagungkan lalo Yesus Kristus.",paragraph_029,118321
ardi044,ardi,Alena makkuasa na wedding ipakaraja untu' silampe'na etta.,paragraph_029,118321
ardi045,ardi,"Kehormatan pengurapan sibawa parfum yanaro tindakan yaro sangi' riteppu laleng literatur lainge pole yaro masae; ne, mappake gemme lampe' untuk rakkoi aje Yesus, mappada laleng Injil Yohanes na Lukas, de'na ricatat ri onrong lainge, na parellu rianggap sebagai tindakan yaro istimewa.",paragraph_030,92081
ardi046,ardi,"Namuni engka sadda-sadda laleng Dewan Signoria Venesia ye iyusulkang nare' pulau yero iyaleng sibawa passullenna  wilayah ri Dalmatia nennia hak-hak dangkang istimewa, harapang elo' engkana  bantuang pole negara-negara Kristen lainna napancaji Venesia maloppo ulu, nennia ultimatum Utsmaniyah to itola' mentah-mentah.",paragraph_031,13188
ardi047,ardi,"Hebraisme, sippada Helenisme, ianaritu salah seddi faktor pongpenting laleng perkembangan peradaban Dunia Barat; agama Yahudi, mancaji paddiolona pole agama Kristen, secara de' na langsung maega mabbere sumbangan lao akkibukeng nilai-nilai luhur sibawa akhlak bangsa-bangsa Barat sipongenna agama Kristen tattale' maloang ri puttanang Eropa.",paragraph_032,65272
ardi048,ardi,"Ku wettu Borgias, yarega wettu ku tegi silesurengna Borgia kuasai kepemimpinan Gereja, perang ku Italia mamula malanre ku tegi tentara-tentara nawajae Swiss mancaji pasukan garisi yolo tette untu' faksi-faksi iyya siewa - maderi untu' Prancis na maderi untu' taua Gereja yarega Kekaisaran Romawi Suci.",paragraph_033,93044
ardi049,ardi,"Jurnal penelaahan sejawat New Testament Studies iyya ipassu ku Cambridge University Press, paui agaga padangena iyya manessa ku agaga-agagana iyya terangkangi tanrangna alena na jamang Parakletos, sibawa aga iyya pura dinubuatkan untu' umat Kristen, iyyanaro nubuat iyya nacaritai Parakletos mancaji paberena Roh Kudus pasca-Paskah.",paragraph_034,111711
ardi050,ardi,"Naikiya nasaba' iyaro Allah namasei ka, bara' Kristus Yesus wedding nappitang siningna asabbarakeng-Na akku iya', tau iya paling madosa e he.",paragraph_035,38419
ardi051,ardi,Na iyahe mancajiwi seddi contoh untu' siningna tau e matu' melo' mateppe' akku-Alena na naruntu' tuo sejati na pulana,paragraph_035,38419
ardi053,ardi,"Agama Kristeng itentang ri laleng maega peristiwa iyya berhubungangnge pole assi antiklerikalisme bawang lettu' alluangeng assi kekerasang pappadanna assi dekristenisasi riwettu mattengnganna Revolusi Prancis, Ammusureng Rikkaneng Spanyol, na gerakang-gerakang Marxis mattentu, khususu'na Revolusi Rusia na penindasang umma' Kristen ri Uni Soviet ku rezim ateis.",paragraph_037,127230
ardi055,ardi,"Sebagai ana', Chaime mancaji pion ri laleng kekuatang politi' ri provence, di mana ambo'na maccoe terliba' laleng pertempurang menolong mubtadi' Kathar pole Albi nalawang pasukan Perang Salib Albigensia ye ipimpin oleh Simon IV de Montfor, Earl Leicester, ye nacobai untu' namusnahkan mereka.",paragraph_039,44808
ardi056,ardi,"Nah, Puang-puang yamanengna parellu misseng na yamaneng bangsa Israel to parellu missengi makkeda yae taue tettong makkokkoe sibawa batang kale malessi ri olona Puang-puang, nasaba' kekuatan na akuasangeng pole Yesus Kristus yaro tau Nazaret e.",paragraph_040,59162
ardi057,ardi,"Puang-puang pura nasalibkan yaro Yesus, tapi' Allah ta'ala purai napatuo Alena paineng",paragraph_040,59162
ardi058,ardi,"Iyaro daftar'e de'na riaseng'i parellui ri Gereja Katolik'e, nennia nasaba parellui Martin Luther, Gereja Katolik'e napinrai kanon'e ri Konsili Trente, iya purana napattentu paimeng kanon'e pole konsili-konsili riolo nennia natambai klausula anatema'e lao ri sininna usahana untu' napinrai isi kanon'e.",paragraph_041,120462
ardi059,ardi,Alena pun teta nallaleni rukun iman na Islam.,paragraph_042,98247
ardi060,ardi,"Namun, di padepokannya eddi, dena hanya diiseri oleh tau beragama Islam, agama laing pun dipersilakan maggabung.",paragraph_042,98247
ardi061,ardi,"Naikia sayang, Siswo  dena najelaskang mengenai ajaran fole kelompo eddi.",paragraph_042,98247
ardi062,ardi,"Trisula Weda merangkul yamaneng ajaran, di Trisula Weda  engka merangkul yamaneng, Hindu, Kristen, tau fole Bali todo engka todo, matterru Pasundan, Sunda Wiwitan, Jawa  Kejawen, komplit.",paragraph_042,98247
ardi063,ardi,"Kasus yede berkaitan sibawa tindakan mala paksa, iya lipegau' sibawa pemerintah Negara Gereja, lao salah seddi anak keluarga Yahudi ki Bologna, yanaritu Edgardo Mortara, iya nappa enneng taung umuru'na, atas dasar kesaksian seddi mantan pelayan keluarga Mortara makkeda Edgardo pura libaptis secara darurat wettu malasa wettuna biccu mupi.",paragraph_043,4786
ardi066,ardi,"Sibawa iya' ma'janci sibawa sungguh-sunggu untuk perhatikan, sibawa berdoa memohon bare' Pikiran iya to engka ki laleng Kristus Yesus yaro monro ki laleng idi', untuk nalakukan lao tau laing aga iya melo' bare' alena najama lao idi'; sibawa untuk bertindak penno kasih, adil, nennia murni.",paragraph_046,4285
ardi067,ardi,Okina pura ipake untu' mewai iyyagi tau Yahudi naiyta umat Kristiani.,paragraph_047,38045
ardi068,ardi,… makeda mappamula wettu iyyaro akewange na peperangan na asilolongeng-meja iyya magatti si-sulle na de' pettu-pettu cumpa ku kota iyyaro na ku yemaneng Yudea lettu pacapurengna ikepungi ku Vespasianus moloi.,paragraph_047,38045
ardi069,ardi,"Onrong iyae, monroi ri tange mattama sempit salo' kuniro Salo' Marne mengitari tanah berbatu, riwerengi aseng purana parit oppidum Celtic sibawa kemudian castrum Romawi; situs iyae riiseng laleng catatan pertengahan sebagai Castrum Bagaudarum, ri wettu yero Bagaudae mebbu reputasi sebagai penjaga umat Kristen pole siksaan Romawi.",paragraph_048,14611
ardi070,ardi,"Nappa Yesus no' pole yaro bukit e massama-samangi sibawa yaro rasul-rasul e, nappa pajai na tettong ri seddi onrong yaro malappa'e.",paragraph_049,115567
ardi071,ardi,"Akkero mai engka to maega loppo paccoe'-paccoe'-Na yaro lainge na maega tau yaro engka lettu pole tega-tega ri yamaneng Yudea, Yerusalem, na kota-kota Tirus na Sidon yaro ri wiring tasi'",paragraph_049,115567
ardi073,ardi,Indo’na guru matematika ri sikolang bunge’.,paragraph_051,114258
ardi074,ardi,Tatas Brotosudarmo iyanaritu appo gattungna Siwur pole KGPAA Mangkunegara I mangeppu KPH Poerbonagoro sibawa to appi wareng pole KGPAA Mangkunegara IV mangeppu BRAy Tondokusumo.,paragraph_051,114258
ardi075,ardi,Tatas Brotosudarmo botting sibawa Dr. Leenawaty Limantara.,paragraph_051,114258
ardi076,ardi,Tatas Brotosudarmo iyanaritu tau panrita Kristen Indonesia iyaro macca redormed injil.,paragraph_051,114258
ardi077,ardi,"Tuli hadere, akku penginjilan sibawa seminar kekeristenan.",paragraph_051,114258
ardi078,ardi,"Mangulang-ulang nappa sibawa megana cara ero bapa suci na pa tette ma pekko ero maneng tau ee harusuk tuo taat lao okko Yesus Kristus sibawa setia mengabdi na ma pake ating ero murni sibawa ating nurani ero mekanja ee, laleng na status tuo aregaa agaga aro ga ma pekko cara tuo religius agagi ero na pile we.",paragraph_052,29871
ardi079,ardi,Amerika Serikat dessa necce lalengna proses mappile yewe.,paragraph_053,114425
ardi080,ardi,"AS, dessa femeng nitai perang akki Asia Tenggara sebagai rufanna perang salib nalawang si majassifa', sibawa dessana femeng najampangi sitongengna wettu yolo yero fekkogi yero nelori rakyat akkewe.",paragraph_053,114425
ardi081,ardi,"Irita fole nafaue yero pemimpin akki Washington, yero mencaji masala fassaleng bawang atepperengna sekutu-sekutu AS lao jangci sibawa komitmen negeri yero.",paragraph_053,114425
ardi082,ardi,Jaji alena nasuroni pengiku'-pengiku' na alena akku Yesus sibawa siarega anggota golongan Herodes.,paragraph_054,118792
ardi083,ardi,"Tau-tau e ro napau akku Yesus, Pa' Guru, idi' misseng i makkeda Bapa' jujuru'.",paragraph_054,118792
ardi084,ardi,"Bapa' tapagguru de' ta' belle aga naeloki Allah untu' tau e, na de' tajampangi pendapa' na tau e.",paragraph_054,118792
ardi085,ardi,Nasaba' Bapa' de' ta ita i niga tau,paragraph_054,118792
ardi087,ardi,"Sile'ttunna ri be'nere liang lahat, prosesi pemakaman ripammulai nasibawai mabbaca riwayat hidup siba mabbbage penghargaan iye riterima Ani Yudhoyono.",paragraph_056,117697
ardi088,ardi,"Selanjutna, Jokowi nallippe'ssang kepergian benena untuk rimakamkan ri yawa naunge'ng bendera Ce'lla Pute.",paragraph_056,117697
ardi089,ardi,"Iya Presiden Republik Indonesia yase ase'ng negara, bangsa, siba TNI, nasibawai ewe mempersembahkan okko persada indo pertiwi jiwa, raga, siba jasa-jasa almarhumah Hj Kristiani Herawati Yudhoyono, kata Jokowi.",paragraph_056,117697
ardi090,ardi,Idi' sippada batu-batu iya tuoe.,paragraph_057,26859
ardi091,ardi,Nasaba' iyaro melo'na idi' melo' ipake untu' bangung Bolana Allah iya rohani.,paragraph_057,26859
ardi092,ardi,"Narimakkuanna naro idi' mancaji imang-imang, iya tuo khusus untu' Allah, na lalo Yesus Kristus persembahkan i akku Allaah, karoba rohani iya natarima akku atinna Allah",paragraph_057,26859
ardi095,ardi,"Tongengna, menuru' Kepala Bagian Humas Pemkot Surabaya Febriadhitya Prajatara nassakkareng kegiatan yero iyanaritu kegiatan baptis.",paragraph_060,24642
ardi096,ardi,Kegiatan lalengna yero videoe iyanaritu kegiatan silaturahmi sibawa yero rohaniawan se-Surabaya.,paragraph_060,24642
ardi097,ardi,Jaji idi' pastikan makkeda lalengna acada yero Bu Wali Kota iyello doangi bara' tuli madising sibawa tuli Ilingdungiwi Puangalataala.,paragraph_060,24642
ardi098,ardi,Dessa gaga acara laingnge silaingna yero.,paragraph_060,24642
ardi099,ardi,"Pitangi lao okko iya siddi tau ero lalo okko Injil yaro pura na runtu na pemeng pole okko kemabukan lao okko laleng kesadaran diri, pole okko kemarahan nah kegusaran ko laleng kesabaran diri, pole okko ketamakan lao okko kemurahan hati, pole cemar mulut lao okko laleng baik wicara, pole okko ketidaksenonohan lao okko laleng kesahajaan.",paragraph_061,86803
ardi100,ardi,"Atuongena atuonge relijius na pangkaukeng marilaleng pole Bernard pole Clairvaux na Fransiskus pole Asisi ku abad kasepulo dua na kasepulo tellu, masilong sibawa susangena maneng Salibis iyya lesu pole Tanah Suci, warengi atuonge devosi ku Carita Peddina Yesus Kristus.",paragraph_062,34667
ardi101,ardi,"Mareppe makkeda seddie kerajaang Nestorian ye lenynye'e engka ri bagiang timur, iyare'gi makkeda asalamakeng Negara-negara Tentara Salib tergantung akku seddie aliansi sibawa seddie tau penguasa monarki Timur, yenaritu salah seddi alasang bare' siare'-are' duta loppo nennia misionaris Kristen ikiring lao Mongol.",paragraph_063,13842
ardi102,ardi,Berikut kumparan mappasilolongeng.,paragraph_064,12281
ardi103,ardi,"Shandy Aulia De'na namaitta iye, Shandy Aulia mappuada mabbka puasa sibawa keluarga maraja sang ayah, Kemas Yusuf Effendy.",paragraph_064,12281
ardi104,ardi,"Mappada riissengngi, sipungenna Shandy umurunna tellu taung, tomatowanna massarang.",paragraph_064,12281
ardi105,ardi,"Shandy pura toi sibawa indo'na, Elsye Dopong, sibawa menganut agama Kristen.",paragraph_064,12281
ardi106,ardi,"Namakkuaniro ero, Tellu silessurenna makkunrai, Dian, Vivi, sibawa Putri, mancaji agama Islam pada-padanna ambo'na, Kemas.",paragraph_064,12281
ardi107,ardi,"Tata carana memuat ajakan untu' bertobat fole pastor, waktu doa hening yewe memungkinkan umat untu' mengakukan dosa-dosa mereka akki laleng hati, seddi bentuk pengakuan umum yewe diserukan sibawa fole yamaneng yewe hadir, sibawa pemakluman absolusi umum fole pastor yewe umumna isertai sibawa makibbu tanda salib.",paragraph_065,27751
ardi108,ardi,"Purana iyaro Yesus napau akku tau-tau e, Narekko seddi tau pole idi' maneng mappunnai seddi ana' iarega sikaju lembu iya mabuang e akku bujung e ri esso Sabat, de' ga na alena magatti' getteng i messu' ana' e ro iarega lembu e ro esso e ro?",paragraph_066,114424
ardi109,ardi,"Kitab-kita ya i pasingewang, ya tama e laleng seddi kanon namung de' na engka laleng ya laing e, sesekale yaseng apokrifa Alkitab, seddi adana ya tulli-tulli i pake secara macikke untu podang kitab-kitab laleng kanon Ortodoks nenniya Katolik ya de' gaga laleng Teks Masoret Yahudi nenniya megana Alkitab Protestang modern.",paragraph_067,19079
ardi110,ardi,"Maega pole Gereja-gereja iyyae de' natarima pikiri makeda engka seddi otoritas lainge ku seliwengna maneng paroki Kitab Suci iyya odding ku materu mului tau-tau Kristen lainge lalo otoritas ilahi iyya tongenge; purana Perjanjian Baru, makuro alena maneng paui, tange-tange pewahyuan pura itutu.",paragraph_068,120676
ardi111,ardi,Selleng pole Epafras.,paragraph_069,73265
ardi112,ardi,Alena pole to kalangeng ta.,paragraph_069,73265
ardi113,ardi,"Alena hamba Kristus Yesus, iya tuli millau doang marajing untu' idi' maneng.",paragraph_069,73265
ardi114,ardi,"Alena millau ladde' akku Allah bara' ateppekengta mancaji matedde' na idi' madewasa tongeng, bara' idi' sukku' tunru' akku elo'na Allah",paragraph_069,73265
ardi115,ardi,"Mega tau Kristen tama selleng untu' menghindari pajak jizyah yewe ikenakan akki mereka sebagai Dhimmi Konversi lo Selleng to membuka cakrawala baru untu' tau-tau Kristen asli, mengangkat posisi sosial mereka, menjamin kondisi kehidupan yewe lebih makessing, sibawa nafaloangi ruang lingkup kerja mereka akki jamang yewe lebih teknis terampil sibawa maju.",paragraph_070,14811
ardi117,ardi,Alena toh nerak umat Kristen ku Nagekeo kususna Nangaroro magguru tentang hal mapuasa fole umat Muslim ya wettude iyye lo laksanakan selana siuleng fenno.,paragraph_072,108652
ardi118,ardi,"Iya wakkeleki umat Khatolik fole Nangaroro naucapkan selamat ku umat Muslim ya lo tama uleng puasa, uleng ya suci sibawa fenno berkah sibawa idi berusaha untu ciptakan suasana damai sibawa tenteram, nafau.",paragraph_072,108652
ardi119,ardi,"Gereja naitanna sebagai seddi kejahatan serius yaro mancaji saba' iman, rennu, na kasih laleng alena tau lainge mancaji lemma, terutama rekko yae hal e rijama lokka anak-anak ato kaum lolo na pelakuna yanaro pribadi pole pihak otoritas mappada tomatoa, guru, ato imam.",paragraph_073,1526
ardi120,ardi,"LWF iyyato mengaui tellu Akengauna Iman Ekumenis -- Akengauna Iman Nicea, Akengauna Iman Rasuli, na Akengauna Iman Athanasius na akengauna-akengauna iman Gereja Lutheran, utamangena Konfesi Augsburg iyya depa isullei, naiyya Katekismus Beccu Martin Luther mancaji papanessa iyya mapacinge pole Firman Allah.",paragraph_074,20401
ardi121,ardi,"Dokumen iyyae maparengerang na pateddei undang-undang iyya pura yebbu ku yemaneng paus yolona ku aliwenge-aliwengena iyyaro, na iyyato paluangi lettukengna ku yemaneng tau loppona gereja iyya nullewe, untu' selewi hukuman iyya sibawai, maccue ku lalengna alelunge agaga-agaga linoe sibawa mapake aseng tau-tau beasae.",paragraph_075,26060
ardi124,ardi,Wettunna esso Sabat Alena mappammula mappagguru ri bola massompa.,paragraph_078,55427
ardi125,ardi,Engka maega tau akkuro.,paragraph_078,55427
ardi126,ardi,"Wettunna tau-tau e ro mengkalinga appaggurungna Yesus, alena heran ladde'.",paragraph_078,55427
ardi127,ardi,"Alena napau, Tegi pole iyahe tau e we naruntu' maneng i iyahe?",paragraph_078,55427
ardi128,ardi,Kebijaksanaan aga iyahe engkae akku ale-Na?,paragraph_078,55427
ardi129,ardi,Maraga carana alena runtu' keajaiban,paragraph_078,55427
ardi132,ardi,"Lalengna Gereja Perdana, yemaneng pajama peribadatan naiyyato yemaneng uluna jemaat, padae sidang jemaat iyya alena maneng matoroi, mapake waju beasa iyya beasa napake tauwe esso-esso ku negeri-negeri iyya ipacuei ku kebudayaan Yunani-Romawi, nemung alena maneng yellorengi mapake waju iyya mapacing na de' namarota ku esso-esso suci.",paragraph_081,17789
ardi133,ardi,"Iyya pade' malanre keadaana iyyanaritu tabukkana tongenge makeda Gereja missengi siare' pole imam-imam papegauna makarawa iyyaro, na ku pamulangna jampangi alena maneng sibawa cara mabelle missengi ejjae iyya alena maneng pegaui na palette jamangi alena maneng pole seddi jemaat jokka jemaat lainge naiyya baliwi maneng.",paragraph_082,97142
ardi134,ardi,"Nasabari iyya mancadi liwa lumpuh na dena naulle mabbisyara, iyya naulle mappasseddi ala silong maega tau lumpuh na tau fefe laleng Injil, bersyukur ase perawatan iyae fenno pappoji na cakap iyae iyya tarima serta ase harapan elo atuwong kekal ri laleng Kristus.",paragraph_083,22783
ardi135,ardi,"Obligasi perang yarega War bond iyyanaritu seddi obligasi iyya ipaengka ku seddi negara untu' mpajai perang Siare' perusahaan, bank, pemerintah na lembaga makuasa lainge odding napaengka obligasi laleng denominasi mata uang valuta asing lainge iyya yita lebbi tennang naiyya mata uang domestikna.",paragraph_084,92565
ardi136,ardi,"Riyolo ajajingeng ana’ worowanena, na purana arreddukeng emansipasi Yahudi ri Rhineland, Herschel lette’ agama pole Yudaisme untu’ maggabung sibawa agama negara Gereja Injili’ Prusia, massule aseng yolo pole Herschel iyya assalenna pole basa Yiddish mancaji Heinrich iyya assalenna pole basa Jerman.",paragraph_085,74857
ardi137,ardi,Siruntukeng ku onrong KH Zainal Abidi berlangsung kurang lebbi si jam.,paragraph_086,13205
ardi138,ardi,"Silaturahi yahe untu lebbi fstedde hubungan antar rufa tau sibawa pemeluk aagama, naseng Profesor Zainal Abidin.",paragraph_086,13205
ardi139,ardi,"Profesor Zainal nafau, hadere para tokoh sibawa pimpinan gereja yaro, nafatanrang anpe keterbukaan untu mabangun hubungan kekerabatan, silaturahmi antara tokoh agama laloi momen Idul Fitri.",paragraph_086,13205
ardi140,ardi,"Seniman muslim assaleng Kebumen, Jjawa Tengah, eddy Ruswanto, narancang na makkibua kolase Bunda Maria paling maloppo ri dunia iya takkibua pole maddatu sebbu lampa majalah na koran isekna berita passaleng kekerasan rumah tangga.",paragraph_087,7078
ardi141,ardi,"Kolase Bunda Maria Guadalupe iyaro itaro na ipamerkan ri Museum Mahanandi Jalan Raya Jemursari, Surabaya, selama uleng Desember sebagai bentuk akkuragana nasuarakan keberpihakan gereja okko makunrai na anak-anak.",paragraph_087,7078
ardi142,ardi,"Unur pura melo tulunge pole Saifuddin Ghazi I pole Mosul na Nuruddin Zengi pole Aleppo, na iyya cilalena mului seddi akewange ku kamp tentara salib; Tentara Salib ipatasoroi pole tembo' ku dare' bua-buae, ku tegi alena maneng magampangi nakenna akewange ikepungi na gerilya.",paragraph_088,96868
ardi143,ardi,"Nah, yaro kejadiange iyanaritu kiasan pole baptisan yaro makkokkoe alena maneng salamakangi iko maneng.",paragraph_089,55752
ardi144,ardi,"Yae baptisange taniani seddi upacara mappacakka batang kale pole yamaneng yaro rota'-rota', melainkan iyanaritu jancimu lokka Allah ta'ala pole ati nurani yaro mello.",paragraph_089,55752
ardi145,ardi,Yaro baptisange nasalamakangi iko maneng nasaba' Yesus Kristus pura tuo paineng pole amatengeng,paragraph_089,55752
ardi148,ardi,"Ri era iyae tarompo silong teppuang Penyimpangan Loppo, manakala Abad Pencerahan na Revolusi Ilmiah ri Lino Barat menimbulkan perubahan-perubahan loppo ri bidang kemasyarakatan, agama Kristen difangngolo ri siaga macam bentuk skeptisisme na ideologi-ideologi politik modern tertentu mappada sosialisme na liberalisme.",paragraph_092,104466
ardi150,ardi,"ku wettu mabarue, pura engka rupangna pangkaukeng untu' 'papajai' tabagenge iyya kajajiang; bangsana sibawa adana ku iyyaro Kristologis iyya yebbu ku Paus Yohanes Paulus II na Patriark Ignatius Zakka I Iwas, sirupa sibawa iyya napegau iyyaro wakele-wakelena Gereja Ortodoks Alau' na Gereja Ortodoks Oriental.",paragraph_094,11843
ardi151,ardi,"Ku wettuna iyyaro, Henry Crawford iyya sugie, magello gayana na linoe naiyya silesureng makunraina, Mary Crawford, engk ku bolana pendeta untu' monro sibawa Mrs. Grant, deng enya tongena alena maneng, purana sitaung ku Antigua, Sir Thomas nasuro Tom lessu cinampe paterui jamangna alena.",paragraph_095,61892
