file_id,text,audio_filename
15,"Gambara e'nneng, Nah iya anak eppo na Adam pede maitta pede majapang kau'keng gangkanna Allah ta'ala elo hukum. Lempe maraja elo napa poleh Allah ta'ala. Iya kia engka mu'pa seddi tau matep'pe ri Allah taala. Iya narituno.",15.wav
16,Allah taala nasurunino make buse dilopi-loppo. Nah iya teh punana. Mutama nino si bawa keluargana ri lalena lo piero. Nah ya ramana toi tahu lain'nge. Iya kiate nama elo. De'nama tep'pe makkeddai. Elo ina hukum Allah ta'ala linoe.,16.wav
17,"Gambara pitu, nah iya muttamana'nno si bawa keluargana rilalengna lobi'e na kongcini Allah ta'ala tange'na ro lobie pole tonni bosi raja'e gangkangna lempe na maraja, sininna bulu'e na tappu maneng'i nama elo maneng'i tawwe ma coek ri  nabi nuh.",17.wav
18,"iya ki'ya na de'na na wed'ding nasabeng pu'ra na tuttuni allah ta'ala tange'na lobie,sininna tau engkae risallewing'na ro lobie mati maneng'i nasaba de'na na 'ma teppe ri'ya Allah ta'ala.nabi nuh sibawa keluargana salama maneng'i na'saba ma teppe'na ri Allah ta'ala.",18.wav
19,"Gambara arua, Abraham ianaritu salase, dinnai ana apona Adam. Nayaro Abraham, mateppe ilari puang Allah ta'ala. Mak jancini Allah ta'ala lauya Abraham sibawa Sara, maelo ompirengi ana.",19.wav
20,"Riwatuma jua napa, nainappanai manakeng sek di ana orwani. Nayaro ana orwani, riyasengi Ishaq. Mak janciwi Allah ta'ala mak kedai, pole riaso sornai Ishaq, engka mati sewa papa salama, maelo epaleppe iru patawe, pole ridosa-dosana, dosa ta sibawa dosaku.",20.wav
21,"Gambara asera. Musa iyana ritu salassedding'na abbatireng na poleri Abraham sibawa Ishaq. Musa mateppe iriya Allah ta'ala. Na'iya puang Allah ta'ala, na suruy Musa menre' ri tompok na sik'die bulu. Kuwaniroh na paturu parintana Allah ta'ala laori Nabi Musa.",21.wav
22,"Ri lalenna gambara ewe, ri tai Nabi Musa no poleri tompok na bulu e, diwi parintana Allah ta'ala. Na'iya Nabi Musa, lisuruy ri'ya Allah ta'ala makbirittangi parintana laori tau mae gai.",22.wav
23,"Gambara seppulo. Engka enneng perintahna Allah ta'ala purana paleddu eri Nabi Musa, rialah conto, iya naritu, gambara A, ajakmu sompa, rapan-rapang iare gana anu lain. Gambara B, ripek kulengi.",23.wav
24,"sikura-kuranna siseng seminggu, ripas sadiai watut tamas sompa lawaripuang Allah ta'ala. Gambara C, naya anak-anak'e, sipinajai napaka raja tomatowana. Gambara D, ajak mu unoi padamu rupa tau. Gambara E, ajakmu malaweng.",24.wav
25,"ajak mu macinnai makkunre lain, risaliwennae bainemu. Gambara F, ajak mu mennau, ajak mu macinnai waramparang na padamu rupa tau.",25.wav
26,"Gambara seppulo seddi, naiyawattunna  Abraham sibawa Musa, narikko engkatau pura pogaudosa. Rizuro yeripuan Allah ta'ala ma'gere sikaju bimbala. Bimbala ero na korobbanga'nge tanrna masasakale pura pogaudosa. Makukuai.",26.wav
27,"de'na na perluki ma'gere bimbala tan'rang a'tobakeng. Allah ta'ala pura na badurungi puatta Isa manjadi korban pa'palappe dosa sibawa darah na. Isa mati risali nasabat dosa ta, Tellu ngeso'i pura na mate nasabat dosa ta, na tuo paimeng.",27.wav
28,"Narikori sadariwi aleta makkedae tauma dosa ki sibawa riangaquinna dosa ta. Matappa'ni lauri Isa, guammangina dan pengenge'ngi dosa ta. Mare launik lauri puatta Isa, guammangina dan pengeng'ngi dosa ta.",28.wav
29,"Gambara seppulo dua, maquwaniri'tu carana poutta Isa mattama ri laleng linoe. Na iya Isa na genne'kiwi jancina Allah ta'ala ri Adam síbawa Hawa. Isa ya'na ritupa pappasalama, mulleng'ngi pacingini dosana taulinoe.",29.wav
30,"Engkasewa ana da'ra na riyaseng Maryam, deppana ise'ngi riasengi  orowane. Ya kia engkani tangke'na riasengi Yusuf, engkani nasewa wattu, na engka'na malaika na  Allah ta'ala laori Maryam. Makkedai malaika'e, allaroh Qudus na panjajiko matu mattampu.",30.wav
31,"na muimanakan zewa ana orwani. Ya'ro matu ana orwani mua'sengi Isa. Bannamibawang Isa, makulle pasalama'i tawwe ri dosana. Na yaro malaika'e na birita toil'loauri Yusuf tangke'na Maryam,rilaleng'ngeppi. De'na engka'na silewureng Maryam síbawa Yusuf, gan kanna jaji Isa.",31.wav
32,"Gambara seppulo tellu, Kira-kira asera uleng ring munrinna nairo, risewai wonni, rajajianna  Maryam sewa ana orwane. Rihitani ri gambara b, nayaro wonniye, engkatoi malaika'na Allah ta'ala lauri pakkampi olokolo engkayri padange.",32.wav
33,"Makkedani malaika e'ro, iyaw'niye, jaajini papa salama na janjange Allah ta'ala. asenna yana ritu isa. Naiyya Isa, makuwase madampenga'ngi dosau. A gannalaona pakampi, Erosappa Isa, elok na sonpa.",33.wav
34,"Gambara seppulo e'ppa, na iya Isa, appekke'i pada-pada anak-anak Iyasae, rilalenna gambara a, ri'ita Isa riwadgunna umuru sepuluh dua tahun. Macam cerita pasalenna Allah ta'ala, lawrita pandita, yarikka pemimpin agama.",34.wav
35,"Isa naik sema nangiru, nasaba Isa iya naritu Allah ta'ala. Rilalenna gambara b, riita Isa riwadgunna umuru tellupulo tahun, mattengah mappa guru litau ekae. Maega tau matappe naori Isa, iyakiaa meiga to na de'na matappe. Allah ta'ala.",35.wav
36,"nappa nessai mak kedai, Isa iya naritu Allah, sibawa nailorngi matappe ri Isa.",36.wav
37,"Gambara seppulo lima, Na ia isa, temmaka a kuasanna. Lebbih ma kuasai na ia sinnina se tangi, iare ka anasan roi. Itai gambara a, isa makuasai pamila e matana tau butai. Itai gambara b.",37.wav
38,"isa makuasai patua'i tau mate. Itai gambara se, isa makuasai juppari tompo na uai. Puasa isa,temmaka a kuasanna.",38.wav
39,"Gambara seppulo e'nneng,isa tuli pogau'i anu madeceng.isa de'na ma dosa,isa nappaguroa'ngi lao-laonaa Allah ta'ala, puatta isa nafanessai makkeddae, iya tau linoe ma'dosa maneng'ngi, na iya tau egae.",39.wav
40,"de'na ma elo mangakui dosana agangna maccai manenni na'ro nauragai tikkengi puatta isa,puatta isa riparasai riangma jiwi sibawa ri'e ligellena iya kia puatta isa de'na ewa aga assaba kenna.",40.wav
41,nasaba isa napededi'ngiwi rasa-rasan'nge kuammengi natangungiwi dosana tau linoe.,41.wav
42,"Gambara seppulo pitu, Puatta Isa,de'na risessa bawang, iya kia ripadde Ferpatuyiri jusalli'e. Allah ta'ala nampaita yangi amatyan na Isa, mencaji korban na saba' dosata. Puatta Isa na tanggungi hukuman na dosa-dosata.",42.wav
43,"Mate na saba idikmaneng, na rikoma ngaku kitauma dosa sibawa matapakki ripuatta Isa. Na dampenge'ngi dosata. Engka muki'ka millau terima kasih ripuatta Isa, na saba na dampenge na dosata.",43.wav
44,"Gambara seppulo arua, na iya matena na puatta isa ria jusallie. Laoni ana gurunna malai na kuburu risi'ewe kuburu batu.nainappai na sampoi babanna kuburu e'ro sibawa batu maraja. Tellu ngessoi rimundinnaero, Mariam sibawa sellaiona.",44.wav
45,"laoniri kuburru'e. Iya kia de'ni gaga puatta isa. Banna mibawa malaika angkat kuaru, maskkeddai malaika ero, tuoni paimeng isa. Moto niriya matianna, narikoma sempajang kimarelaudoang rialena.",45.wav
46,na inkelinga sibawa elo na parahatika'ngi parelauta.,46.wav
47,"Gambara seppulo asera. Naiya tuona na paime puatta isa. Maega'tau mita'i sibawa ana'i wana asipa fijara. Tomas ana guruna puatta isa, makkedai'ri puatta isa. Narri kudeppa uwi tai loona tanrang bate pakunna ripala limanna.",47.wav
48,"deippa mateppe makkedai, tuoni paimeng. Na ta'ko engka muni isa madeppe'i seddenna. Inapana pata yang bate paku engkai ripala limanna. Aga na matteppe na Tomas makkedae, tuoni isa mo'to poleri ya matianna. Na saba na'itana, ia ki'ya puatta isa.",48.wav
49,"naeloreki matteppe, mauni de'na ri'ita sibawa mata ulutta.",49.wav
50,"Gambara duo pulo, patappulo a'so ri'munrinna, puranoa tokeng'e puatta isa polaria matianna, nao bi'ni ana guruna loresewa'e bulu, na ina nappa makkedda,Makke kuae elona lisu mendre ri'surgae. Na rekko laona.",50.wav
51,"sitinajai nge biletang e laurawoko risibina rupatauwe. Panasangi makkedae, isa pura risali, kuamengi na tanggungi dosa na taulinoe. Na tungke-tungke tau mateppari ia, wadampenge'ngi dosana. Na wedding'ngi mate munruka sibawari laleng'ngi suruga.",51.wav
52,"Na ia ana guruna, na itai puatta isa, tarakka mendre ri'surgae. Na engkana dua malaika makkeda riana guruna puatta isa. Engka makkisewa aso, na angka pole isa. Puatta isa, elo ina paccoe maneng'ki mendre ri'surgai.",52.wav
53,"Elo mukingka matappari isa, ku ameng'ngi matin na tiwike mattama ri'surga.",53.wav
54,"Gambara duo pulo seddi Naiyya a jusalli e, na faringa erangi ki pamase na puatta isa. Puatta isa de'na madosa. Mauni makuaro, na beriangi ale na rissesa sibawa risalli. Kua ammengi tangungi pahukunga na dosata.",54.wav
55,"dosa-dosa ta'maneng sibawa dosaku. Naiya purana na riuno tu i paimeng. Makukuae, tulisadiai tulungi sininna  tao matapekke'ngi, na rekoriakui dosata sibawa riatappekinna, na dampenge'i dosata.",55.wav
56,Na monroki ma sibawa Allah ta'ala rilaleng suruga.,56.wav
57,"Gambara duo pulo dua, makkedai puatta isa. Engka dua laleng, iyanari tu laleng masagena, sibawa laleng macipi. Tungke-tungke tau, mappa mulai rijajiang, engkae ri laleng masagenae, mak tuju lauripa hukung'nge.",57.wav
58,"abide'e nawedding pedde. Naiya tau mateppe'e ri puatta isa, sibawa turu eri parentana, ripalette ippole ri laleng masagenae, laori laleng macipi'e. Laleng macipi'e, iyanari tu laleng'e ma tuju lauri atuong sibawa Allah ta'ala ri lale suruga.",58.wav
59,"Maelok muki ka mateppe ri isa, narekko maelok muki, makkedani lauri isa. Ee puakku isa, uangakui makkedai, tau madosaka. Matappaka makkedai, puakku isa, mate risali, kuammngi na tanggungi pahukungana dosaku.",59.wav
60,"Adap pengenga ee puang, sibawa ripinrai atuoku. Maelokka monro sibawa Allah Ta'ala. Terima kasih, Yah Isa. Amin. Nareko tonga-tongangi ripau adaero lauri Isa, na pancajiki ana'na Allah ta'ala. Na Allah ta'ala mancajiwi ambo'ta.",60.wav
61,"Gambara duo pulo tellu, narekko'ma teppe'ki makkedae. Puatta Isa matei, kuammengi na tanggungi pahukung'na dosata, na dampenge'ngi dosata, na pindray atuwotta menjadi atuwam madeceng.",61.wav
62,"Banna mi bawang tau mola eng'ngi laleng e'we, riaseng tau Kristeng. Wedding'ngi naubi ambok Allah ta'ala, na riaseto'i anak na'ri Allah ta'ala. Allah ta'ala na amasewi sininna rupa tawwe, mattungke-tungke suku bangsa, anrenget topa sininna bangsa'e.",62.wav
63,"Rilalenna gambara e'we, puatta Isa mattengangina tarima sininna tau matappe'e lauri alena. Puang'ala Ta'ala, nailori, kuammengi idi sibawa ia, mateppekki lauri Isa, sibawa manjajitta anakna Allah ta'ala.",63.wav
64,"Gambara duo pulo e'ppa, rilalenna gambara e'we. Puatta Isa mattenga'ngi ma'bicara sibawa sewai guru agama, riaseng'e nikodemus. ia puatta Isa, nafan nessangi makkeddae , matungke-tungke tao. Ia pe'naweddingi mattama rilaleng surugai.",64.wav
65,"na rekori pakabarui nyawana. Banna mibawang Roh Kudus, makuasa pakabarui nyawana rupa tawwe.idi, de'nari ulle pakabarui nyawata na saba madosaki. Narekko mengaku ki'tau madosa, sibawa mateppe'ta ma kadae, puatta Isa, makuasai madammpenge'ngi dosa ta.",65.wav
66,"Puatta Isa, makuasai pakabarui nyawata. Nari makwanna na'ro, na mengakuna ni kodemus tao madosa, sibawa mateppena makkedae. Isa iya nari tupappa salama, makuasa madampenge'ngi dosana. idi mane'tu, pekuge pa tujuh ta.",66.wav
67,"Gambara duo pulo lima, riwettu engkana mu'na puatta Isa ri linoe, majanciwi maelo kiringa'ngi pa tulung anak buruna. Na iya lisunnana puatta Isa mendre' ri surugae. Ma depungenni anak buruna sibawa maringlau doanna.",67.wav
68,"Na takko engkamuni kamuli Roh Kudus pole, na nori mattungke-tungke anak burunna, sibawa nawerenna aquwasang, pogau isininna anuna parentange puatta Isa. Roh Kudus, iya nari tupatt tulung, diare ga pasalewo. Roh Kudus.",68.wav
69,"naonroi mattungke-tungke tau maberiange'nge alena lalurie puatta Isa. Roh Kudus, iya nari tupat tulung maelok missenge'ngi ada-adanna Allah ta'ala. Na tulung mane'ki, kuammengi nari pogau anuna suruange Allah ta'ala. Tau Kristeng'e.",69.wav
70,"de'na perluangi pattulunna Roh lainge. Nasaba Roh Kudus, mailo ih'na tulung tau Kristenge, rilaleng anum na sennangi'e Allah ta'ala.",70.wav
71,"gambarat duo pulo e'nneng. sininna tau de'na ma tepp ripuatta isa, engkai laleng pettang'nge, na'saba deg'gaga lampunna.Biasa'i tappa sola, gangkana mabuang. Iya manengnna'ro, maperluangi pa jelok.",71.wav
72,"kegenna laleng madeceng, anreng'nge laleng masalah. Naiya tau mateppe'e ripuatta isa, engkairi laleng matajang'nge. Roh Kudus, iyana'ri tu pa'jelok laleng, tulis sadiai maelok tulungi. Roh Kudus, nacakkari wi laletta.",72.wav
73,sibawa ada-adanna Allah ta'ala.,73.wav
74,"Gambara duo pulo pitu. Tau Krisiteng'e, sitinajai tuo pada-pada na ilorie, ada-adanna Allah ta'ala. Makkeddai kitta'e, tau Kiristeng'e, de'na wedding'ngi malaweng, de'na wedding'ngi massasa, mapangiwang, me nau iarega ma sumpah berhala.",74.wav
75,ia rega roh tau mate.,75.wav
76,"Gambara dua pulo arua. Keluarga Kristen'nge, sitinaja tuo situru ada adanna kittae. Orowane sitinaja na masei bainena, makkunra'iye sitinaja na pakaraja orowanena. Taumalipinenge'nge sitinaja situlu-tulung.",76.wav
77,"Sitinaja ena fiarai anak-anakna, sibawa napagurunna passuru'nna Allah ta'ala.",77.wav
78,"Gambaran duo pulo asera. Naiya Allah ta'ala, nasuroi sininna tau Kristeng'nge, ma masewi sininna rupa taue, tanrenge topa balinna. Rilalengna gambara a,riitai engka dua tau pura si bajji, ia kia makukuwewe si adampenge'ngi.",78.wav
79,"Rilalengnaa gambara b, riitai engka seddi tau tulunge padanna rupa tau, a salennae pole ri sukulai nge, ia bencienge sukunna. Tau Kristenge, sitinajai namase sininna padanna rupa tau, mauni lauri tau macecce rialena.",79.wav
80,"Gambara tellu pulo, rilalengna gambara e'we, engka dua tau mattengang tunu berhala, sima-sima sibawa anu makaramat lainge. Tau Kristenge, banna mi bawang ri allah ta'ala wedding massompa, sibawa mellau tulung rilaleng asenna Isa. Puatta Isa.",80.wav
81,"lebbi makkuasa na ia sininna sanrosanroi, barhalae, sima-simae, an rengitopa rohna tau mate.",81.wav
82,"Gambara tellu pulo seddi, rilalengna gambara e'we,engka seddi tau na uttamai setang. sininna rantai passiona na pettu-pettu maneng'i nasaba setang engkae mallarung rialena temmaka awang tangenna.puatta isa na passu'i setang'e ro agana madisingna taw e'ro.",82.wav
83,"setang'e ro terpassai massu nasaba iyya puatta isa lebbi makuasai naiyya sininna setang'e, sininna setang'e mitau'i ri puatta isa aja muasompa ri setang'e, aja to tumillau tulung ri sanroe.",83.wav
84,millau tulung'i ri ya allah ta'ala rilaleng isa.puatta isa makkuasai rukkai sininna setang'e.,84.wav
85,"Gambara tellu pulo dua nailoreng'i setang'e kuammengi sininna tau kristeng'e due mmi bawang sangeng'na pikkiri'ki iyare ga na pakeang rilanne to'pa paimeng. naelori'wi kuammengi tau kristeng'e naluppai'wi Allah ta'ala, iya kiya tau kristeng'e.",85.wav
86,"sitinajai naturuki Allah ta'ala de sisseng-sisseng na wedding ma'kindreng ri setang'e sitinajai tuli mangring-errang lauri janjinna puatta isa iyana'ituu.sininna anu na na perluang'e rippasadiangangi ripuatta isa, mattius enneng ayat tellu pulo tellu.",86.wav
87,"Gambara tellu pulo tellu, rilalengna gambara e'we engka seddi anak orowane tuli pogau-gau dosa,na ojak-kojang'ngi doi natarimae pole'ri ambo'na na pogauk'i alaawewang'nge abotoreng sibawa naturikinna ellona alena.",87.wav
88,naiya cappu'na doina risalai toni risallaona  gangkangna massesekali lisuni paimeng laoni ri ambo'na millau adampenni nasaba maraja pakkamasena ambo'na ri'a dampenge'nni dosana sibawa ri tarimana paimeng.narekko pogaukki dosa.,88.wav
89,sitinaja ki mases'sekale sibawa tauba nariakui dosata laori puatta isa nasaba puatta isa temmaka na'amesetta. puatta isa musti na dampengengki.,89.wav
90,"Gambara tellu pulo e'ppa, sininna rupa tauwe gampang'ngi malasa millau doang'ngi laori puatta isa, millauni kuammengi puatta isa na'pa bisingi'ki ajana ri sanroiki marellau tulung iyare'ga nari'roh tau mate nasaba gao makkoero.",90.wav
91,de'na willori'wi puatta isa. puatta isa lebbi makkuasai na sininna sewwa-sewwa'e.,91.wav
92,"Gambara tellu pulo lima, narekko engka tau mateppe ripuatta isa namate tubunna rikubburu'i,iya kiya nyawana mattama risurgae nasaba dosana pura ria dampengeng'ngi ripuatta isa. narekko engka tau de'na mateppe ri isa na'mate, tubunna ri kubburu mu'i.",92.wav
93,iya kiya nyawana rihukkung'ngi rilaleng neraka nasaba dosana. peq'kugi tu idi maneng narekko mateki makukkuae puranika napaccingi puatta isa kuammengi rilolonga'ngi surga.,93.wav
94,"Gambara tellu pulo e'nneng, sininna lan'ru aleta, mapunna'ngi maneng'ngi tugas. Padenna mata, ripat'ke guna'i maki'ta, timuwe ripat'ke gunai mak bicara, sibawa daung culinge ripatke gunai maring kelinga. Narekko sala seddingna lanru aleta mapeddi.",94.wav
95,"sininna watak kaleta na pe'neddi manengi, makkedai puatta isa Sininna tau kristeng'e pada padai seddie tubuh, puatta isa mancaji ulu. Tungke-tungke tau kristeng melalaengengi tugasna, yari'ga jama-jamanna. Ibara'na, mapbeda tum.",95.wav
96,"mapak buruangi ada-adanna Allah ta'ala, mak kelong, matulung, rilenne topa paimeng. Tungke-tungke tau kristen sak binnai puatta isa, sininna tau kristeng'e sitinaja siamaseang, sibantu-bantu.",96.wav
97,"Gambara tellu pulo pitu, pura na parenta'ngi poa'nga Allah ta'ala, kuammengi sininna tau kristeng'e, si kura-kuranna siseng si minggu, ma deppungangi ma seppajang, mare laudoang, makelong, ma sibawa. Sala seddinna tau matappe, map'pa guru ri pasalenna puatta isa.",97.wav
98,"Tau kristeng'e, sitinajai na'ing ngerang'nge a matenggenna, sibawa a mutukenna puatta isa, gangka engka-engka na pole paimeng.",98.wav
99,"Gambara tellu pulo arua, makukkuae engkai puatta isa ri surgae,iya kia engka mate sewa wettu na engka paimeng noq Rilinoi, narekko engka ni matte pole, sininna tau matteppe'e na tiwi maneng'ngi mattama rilaleng surugae, iya kia sininna tau de'e na mateppe riweilaiwi.",99.wav
100,"na inappa ri hukkung rilalanna api nerakae. Sadia maneng'i ga'tu, hebara na nareko makukuae engkai puatta isa pole.",100.wav
101,"Gambara tellu pulo asera, pole ripoko'na a jue, ritajengi buana. Takkede'e na makke buah ri toto'i na ri tunu. Nakkale berake'ngi alena puatta isa pada seddi'e poko aju. Na sininna tau mateppe'e, manjajiwi takkena.",101.wav
102,"Maddenua'ngi buah madeceng pole ritau kristeng'e, iya riase'nge buah, iyana ritu, pakka mase, ari-riyong, adi cengang, sadia maelok mattulung, alempureng sibawa atuong madeceng. Ia maneng na'ro, mumpu iriatuona tau kristeng'e.",102.wav
103,"nasaba akkuasanna roh kudus, atuonna tau mateppe'e riya Allah ta'ala, sitinajai lebbi madeceng'i na iya riwatunna deppa na mateppe.",103.wav
104,"Gambara pata pulo, mateppe muki'ga lauri puatta isa, narekko makkowairo, ria palebbanganni lawri songpulolota. Purana dampengngi'ga puatta isa dosata, aja'ta masiri mapalebbangangi lauri selauta. Riapesabianni makkedae, masennani atitta.",104.wav
105,"sibawa de'na tau mitau lawri setang'e, ria disingemui'ga makkedae. Purana pasadiangangi onrong puatta isa rilaleng suruga, narekko makkua'ero, a palebbangangi makkedae, pura ripasadiangangi onrong rilaleng suruga, sinina tau mateppe rieng'ngi puatta isa. Sibalikenna.",105.wav
106,"engka onrong pahukki ngeng, ripasadiangangi sinina tau de'e na mateppe, ria palebbangangi makkedae. Puatta isa, maelo'i palleppe maneng'i sinina tauwe, kuammengi dek'na rihukkung ri ya finarakae. Puatta isa na parintangi.",106.wav
107,"kuammengi ri a palebbangangi lauri sininna tauwe, laleng asalamakeng'nge, maelok muki'ga mapalebbangangi ada-adanna puatta isa, pikiriki wi gau e'we, na muala appettum.",107.wav
